"annotation_id","annotator","component_id","created_at","fallacy","id","lead_time","main_tweet","new_id","posterior_context","previous_context","updated_at"
3471,"3",249,"2024-06-20T09:44:30.875808Z","{""choices"":[""Loaded Language"",""Appeal to Ridicule"",""Ad Hominem"",""False Dilemma""]}",8418,1659.959,"[main_tweet] [user47446]: @user @user @user yeh bringing back an organization with mostly black athletes that distracts people from the hard truths of the world is wrong, but supporting riots that distract from your movement is all right. He's just wrong cuz of his skin color, which he can't change, it's okay. 
 ",106213," [context] [user104337]: @user @user ... @user Kyrie Irving just doesn't get it. Nobody is against fighting police brutality. We are not a race of quitters, we find ways to affect change from the inside-out. These owners don't care if you boycott, helps them tear up your contract for next season. 
  [context] [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
 ","","2024-06-20T09:44:30.875831Z"
3472,"3",249,"2024-06-20T09:46:54.742790Z","{""choices"":[""Appeal to Ridicule"",""Hasty Generalization""]}",8419,143.362,"[main_tweet] [user1779]: @user @user ... @user facts. if a plethora of star players boycott coming back so they can have time to protest and raise awareness for something more important than bball, shit's gonna get fixed quick. those big players have endorsements and stuff as income so the games are nothing but entertainment 
 ",83274," [context] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
  [context] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
  [context] [user104337]: @user @user ... @user We got some crab-mentality going on here, in the hood. The Clippers, Celtics, Lakers, and Milwaukee Bucks will not fall for this. I GUARANTEE YOU !!! They will rejoin protests in these city streets after the NBA Playoffs are completed. 
  [context] [user1779]: @user @user ... @user nahhh we need them in the streets right NOW😂the nba team owners should support that decision and fund protesting instead of games if playing or not playing the games won't affect them. why not not play the games and focus on something bigger?? 
 ","[context] [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
  [context] [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
  ","2024-06-20T09:46:54.742822Z"
3473,"3",249,"2024-06-20T09:51:19.948042Z","Ad Hominem",8420,264.776,"[main_tweet] [user1779]: @user @user ... @user this is america's cause and we definitely need the views over entertainment. it's called awareness. your priorities are wrong. reply to me when they're on track 
 ",144789," [context] [user47446]: @user @user ... @user My priorities are Americans working together not fighting over petty shit like ""don't let black people play basketball because they will take away from our message about police brutality"" the shit doesn't correlate. It's just the cancel mentality of always wanting 2 combat others 
  [context] [user1779]: @user @user ... @user ok. our fight against police brutality and injustice will be forgotten. 
 ","[context] [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
  [context] [user47446]: @user @user ... @user Why must we always be combative? If you know others think something is bad and you can work together why not do it? No one could have watched that George Floyd video and felt any difference. We need to band together not create division for views for your cause 
  ","2024-06-20T09:51:19.948065Z"
3474,"3",249,"2024-06-20T09:52:20.700055Z","Appeal to Fear",8421,60.417,"[main_tweet] [user79987]: @user @user ... @user Let's see how ""Ordinary"" business traffic can function with protesters out there... 
 ",124804," [context] [user47446]: @user @user ... @user Sounds like a threat on businesses. What if it's a black owned business that won't survive without foot traffic. That's racism sir. 
  [context] [user79987]: @user @user ... @user Now I know for sure you you didn't read lmao 
 ","[context] [user79987]: @user @user ... @user He would hijack anything that gives him attention. That's a given. But if this all dies down & we go back to living our lives then a whole new generation of kids will grow up under the same circumstances. Poverty, poor education, drugs, violence. That's the shit that hurts 
  [context] [user104337]: @user @user ... @user You do realize that THE PROTEST HAVE BECOME ORDINARY/BUSINESS AS USUAL NOW ? The white can only be shocked but so many nights in a row, then they say ""Same thing as last night change the channel. "" 
  ","2024-06-20T09:52:20.700078Z"
3475,"3",249,"2024-06-25T12:05:12.267556Z","Hasty Generalization",8422,301.41,"[main_tweet] [user104337]: @user @user ... @user He tried to be cute, a tactic that got Sacramento Kings announcer fired when he responded to Chris Webber, ""ALL lives matter, every single 1 of them."" The guy resigned before getting fired because that is a diversionary tactic. 
 ",144792," [context] [user47446]: @user @user ... @user This guy is really good at diversion. He hasn't answered a single question and keeps cosigning the young black kid. You don't get brownie points for not having your own beliefs Pete. 
  [context] [user79987]: @user @user ... @user LMFAO 
 ","[context] [user79987]: @user @user ... @user Are you saying all vendors, concession stand workers in every arena is black? You think it's just black men or women that are making more on unemployment than working a minimum wage job? 
  [context] [user47446]: @user @user ... @user I think he just means no matter what color you are, you need that money and boycotting the NBA affects the people who really need the money too. Do you think those BLM GoFundMe are putting money in their pockets or in protestors pockets? 
  ","2024-06-25T12:05:12.267581Z"
3476,"3",274,"2024-06-25T12:08:23.541182Z","Appeal to Fear",8423,190.919,"[main_tweet] [user5390]: ... A clearly irate Wallace intervened as John Healey, the shadow defence secretary was arguing that the bill risked breaching the Geneva Conventions that outlaw torture and war crimes because it proposes a presumption [sic] against prosecution after five years... 
 ",28672," [context] [user5390]: for British soldiers serving overseas ""Much of the mess we are having to come and clean up today is because of your illegal wars, your events in the past,"" Wallace said, accusing Healey of making ""wild allegations"" about the intentions of the bill 
  [context] [user5390]: A surprised Healey said: ""That is not worthy of the office of the secretary of state for defence. We are dealing with matters of torture, war crimes, [Ministry of Defence] negligence, compensation for injured troops and compensation for the families... 
 ","[context] [user5390]: 'The defence secretary, Ben Wallace, has angrily accused Labour of taking Britain into ""illegal wars"" when the party was last in government in a heated Commons exchange during the second reading of an armed forces bill 
  ","2024-06-25T12:08:23.541208Z"
3477,"3",274,"2024-06-25T12:09:39.889505Z","Ad Hominem",8424,75.949,"[main_tweet] [user5390]: In recognising the truth, ie the illegality of Labour's wars, Wallace made a statement worthy of State... not unworthy of state offices... the upside down Healey needs a brain examination... 
 ",246108," [context] [user5390]: Sadly, dictionaries do not tell you that meaning... of worth, that is... it has unknown origins, apparently 
  [context] [user5390]: 'Old English weor ""significant, valuable, of value; valued, appreciated, highly thought-of, deserving, meriting; honorable, noble, of high rank; suitable for, proper, fit, capable,"" from Proto-Germanic *wertha- ""toward, opposite,"" hence ""equivalent, worth""... 
 ","[context] [user5390]: Worth is actually related to world... it is a State word, only because its implied meaning is 'that above national concerns'... 
  ","2024-06-25T12:09:39.889538Z"
3478,"3",274,"2024-06-25T12:10:23.849301Z","None of the above",8425,43.393,"[main_tweet] [user5390]: The CCPO has certainly brought the issue to the Senate's notice in a timely manner... People should take appropriate travel precautions, and always travel long distances during the day, and with a companion... 
 ",317442," [context] [user5390]: Treason is treason, not just when a party has taken foreign funding, not just when one is sitting abroad, allowing foreign media to influence your messages to the people, not just when you talk to the enemy, like Modi, without guarantees of withdrawal from Kashmir... 
  [context] [user5390]: but also when one steps over institutional limits of a State nature... When this is done by government, or by a high body, or by the Army, playing media politics, the consequences for discipline and loyalty to the State, the order of things, can be catastrophic 
 ","[context] [user5390]: The PM usurped the rights of the Emperor, in calling for a joint session to pass an ordinary law... do not think this treachery will be forgotten... that PM, like Musharraf, will hang... 
  [context] [user5390]: 'Motorway rape occurred because victim travelled 'late night without husband's permission', CCPO tells Senate panel' 
  ","2024-06-25T12:10:23.849344Z"
3479,"3",274,"2024-06-25T12:11:19.210082Z","None of the above",8426,54.922,"[main_tweet] [user5390]: The Delaware comment came much earlier, though it was only reported yesterday, when the University corrected his remark... 
 ",318016," [context] [user5390]: 'Delaware State University denies Biden was a student after claim he 'got started' there' 
  [context] [user5390]: That name, Delaware, rings a bell... 
 ","[context] [user5390]: The ex-vice president also made a mistake, saying that 200 million people had died from coronavirus in the US' 
  [context] [user5390]: Curious mistakes... he is probably an immortal for having attended the Senate 180 years ago, and he's wishing the US people dead, for being liberal wackos... or illegal aliens on Native territory...? 
  ","2024-06-25T12:11:19.210105Z"
3480,"3",591,"2024-06-25T12:12:45.746302Z","Appeal to Fear",8427,86.198,"[main_tweet] [user134673]: This may also mean more cases among older age groups- while the variant is currently dominant among children, the situation is likely to get much worse if this gains dominance among adults, who will be more likely to spread to other adults & older people - which means more deaths 
 ",336305,"","[context] [user134673]: The study shows that the R number associated with the variant *during* lockdown was 1.45 compared with 0.92 for other strains. This means that cases with the variant continued to rapidly grow during the last lockdown. The variant is associated with an increase in R of 0.4-0.7 
  [context] [user134673]: It's clear that although the situation is dire now, there is potential for it to get much worse & given the rises we're seeing in variant frequency in other regions, if we don't act now, not only with exponential rise continue, but the rate of rise will increase. 
  [context] [user134673]: To illustrate this with an example- Say 15% of a region has the variant now, and has an overall R of 1.1 (fairly realistic given the rises we're seeing in much of England where the variant isn't dominant yet). 
  [context] [user134673]: Assuming R of 1.7 for the VOC and 1 for the standard strain, the variant would be expected to rise to >70% frequency within a month. This would mean an increase in R to 1.5 in this period from 1.1. In terms of case numbers it would be devastating. 
  ","2024-06-25T12:12:45.746475Z"
