annotator,fallacy,id,lead_time,main_tweet,new_id,posterior_context,previous_context,updated_at,Ad Hominem,Appeal to Fear,Appeal to Ridicule,False Dilemma,Hasty Generalization,Loaded Language,None of the above,component_id
1,['None of the above'],5365,51.307,"[main_tweet] [user104337]: @user @user ... @user Kyrie Irving just doesn't get it. Nobody is against fighting police brutality. We are not a race of quitters, we find ways to affect change from the inside-out. These owners don't care if you boycott, helps them tear up your contract for next season. 
 ",144793," [context] [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
  [context] [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
 ","[context] [user47446]: @user @user @user yeh bringing back an organization with mostly black athletes that distracts people from the hard truths of the world is wrong, but supporting riots that distract from your movement is all right. He's just wrong cuz of his skin color, which he can't change, it's okay. 
  ",2024-02-27T12:17:43.890057Z,0,0,0,0,0,0,1,
1,['None of the above'],5366,49.26,"[main_tweet] [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
 ",124801," [context] [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
  [context] [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
 ","[context] [user47446]: @user @user @user yeh bringing back an organization with mostly black athletes that distracts people from the hard truths of the world is wrong, but supporting riots that distract from your movement is all right. He's just wrong cuz of his skin color, which he can't change, it's okay. 
  [context] [user104337]: @user @user ... @user Kyrie Irving just doesn't get it. Nobody is against fighting police brutality. We are not a race of quitters, we find ways to affect change from the inside-out. These owners don't care if you boycott, helps them tear up your contract for next season. 
  ",2024-02-27T12:18:33.482380Z,0,0,0,0,0,0,1,
1,['None of the above'],5367,64.336,"[main_tweet] [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
 ",83279," [context] [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
  [context] [user1779]: @user @user ... @user facts. if a plethora of star players boycott coming back so they can have time to protest and raise awareness for something more important than bball, shit's gonna get fixed quick. those big players have endorsements and stuff as income so the games are nothing but entertainment 
 ","[context] [user104337]: @user @user ... @user Kyrie Irving just doesn't get it. Nobody is against fighting police brutality. We are not a race of quitters, we find ways to affect change from the inside-out. These owners don't care if you boycott, helps them tear up your contract for next season. 
  [context] [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
  ",2024-02-27T15:18:53.164245Z,0,0,0,0,0,0,1,
1,"['Loaded Language', 'Ad Hominem']",5368,74.861,"[main_tweet] [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
 ",124800," [context] [user1779]: @user @user ... @user facts. if a plethora of star players boycott coming back so they can have time to protest and raise awareness for something more important than bball, shit's gonna get fixed quick. those big players have endorsements and stuff as income so the games are nothing but entertainment 
  [context] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
  [context] [user104337]: @user @user ... @user We got some crab-mentality going on here, in the hood. The Clippers, Celtics, Lakers, and Milwaukee Bucks will not fall for this. I GUARANTEE YOU !!! They will rejoin protests in these city streets after the NBA Playoffs are completed. 
 ","[context] [user79987]: @user @user ... @user Totally disagree here. You hit these owners (and more importantly advertisers) right where it hurts. The only thing they care about is $$$. Period. Kyrie understands that going back & playing sends a message that ""Some"" BLM more than others. He is completely on point imo. 
  [context] [user104337]: @user @user ... @user That's so unintelligent. You can't hurt somebody that never cared about you in the 1st place. NBA owners will use this boycott as an excuse to tear up the contract for next season too. They became rich before being a part of the NBA. 
  ",2024-04-05T09:50:00.162745Z,1,0,0,0,0,1,0,
1,['None of the above'],5370,44.231,"[main_tweet] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
 ",165415," [context] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
  [context] [user47446]: @user @user ... @user Companies across the world are already trying to profit off the black dollar by promoting black lives matter. Everyone on social media and in the world agrees we need change. What do we need to do? Let's do it. The world goes on fine when sports are here why stop what works 
  [context] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
  [context] [user104337]: @user @user ... @user We got some crab-mentality going on here, in the hood. The Clippers, Celtics, Lakers, and Milwaukee Bucks will not fall for this. I GUARANTEE YOU !!! They will rejoin protests in these city streets after the NBA Playoffs are completed. 
 ","[context] [user79987]: @user @user ... @user The unintelligent thing to do would be to go on living like nothing happened. If you have leverage use it. See how quickly a rich ass owner who doesn't care will hold on to something that doesn't generate profits. Contracts don't mean a damn thing anymore...haven't in years. 
  [context] [user1779]: @user @user ... @user facts. if a plethora of star players boycott coming back so they can have time to protest and raise awareness for something more important than bball, shit's gonna get fixed quick. those big players have endorsements and stuff as income so the games are nothing but entertainment 
  ",2024-02-27T12:21:12.844757Z,0,0,0,0,0,0,1,
1,['Loaded Language'],5371,25.743,"[main_tweet] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
 ",144791," [context] [user47446]: @user @user ... @user Companies across the world are already trying to profit off the black dollar by promoting black lives matter. Everyone on social media and in the world agrees we need change. What do we need to do? Let's do it. The world goes on fine when sports are here why stop what works 
  [context] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
  [context] [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
  [context] [user104337]: @user @user ... @user We all agree that change is needed, WE DISAGREE ON THE METHOD TO AFFECT CHANGE. Trump will hijack this boycott saying, "" I told you black athletes can't multi-task = go to work and protest. They can only do 1 thing at a time. "" 
 ","[context] [user1779]: @user @user ... @user facts. if a plethora of star players boycott coming back so they can have time to protest and raise awareness for something more important than bball, shit's gonna get fixed quick. those big players have endorsements and stuff as income so the games are nothing but entertainment 
  [context] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
  ",2024-02-27T12:21:38.874414Z,0,0,0,0,0,1,0,
1,['Hasty Generalization'],5372,235.636,"[main_tweet] [user47446]: @user @user ... @user Companies across the world are already trying to profit off the black dollar by promoting black lives matter. Everyone on social media and in the world agrees we need change. What do we need to do? Let's do it. The world goes on fine when sports are here why stop what works 
 ",165412," [context] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
  [context] [user104337]: @user @user ... @user We all agree that change is needed, WE DISAGREE ON THE METHOD TO AFFECT CHANGE. Trump will hijack this boycott saying, "" I told you black athletes can't multi-task = go to work and protest. They can only do 1 thing at a time. "" 
  [context] [user79987]: @user @user ... @user He would hijack anything that gives him attention. That's a given. But if this all dies down & we go back to living our lives then a whole new generation of kids will grow up under the same circumstances. Poverty, poor education, drugs, violence. That's the shit that hurts 
 ","[context] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
  [context] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
  ",2024-04-05T09:57:49.866400Z,0,0,0,0,1,0,0,
1,['None of the above'],5373,33.066,"[main_tweet] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
 ",165417," [context] [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
  [context] [user47446]: @user @user ... @user Why must we always be combative? If you know others think something is bad and you can work together why not do it? No one could have watched that George Floyd video and felt any difference. We need to band together not create division for views for your cause 
 ","[context] [user47446]: @user @user ... @user It's been what..2, 3 weeks and what has happened? Protests overshadowed by everything other than sports, which haven't been allowed. Why ask players to sacrifice their paycheck now also? Not all of them have Supermax deals 
  [context] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
  [context] [user47446]: @user @user ... @user Companies across the world are already trying to profit off the black dollar by promoting black lives matter. Everyone on social media and in the world agrees we need change. What do we need to do? Let's do it. The world goes on fine when sports are here why stop what works 
  ",2024-02-27T12:22:56.904427Z,0,0,0,0,0,0,1,
1,['False Dilemma'],5374,90.816,"[main_tweet] [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
 ",144785," [context] [user47446]: @user @user ... @user Why must we always be combative? If you know others think something is bad and you can work together why not do it? No one could have watched that George Floyd video and felt any difference. We need to band together not create division for views for your cause 
  [context] [user1779]: @user @user ... @user this is america's cause and we definitely need the views over entertainment. it's called awareness. your priorities are wrong. reply to me when they're on track 
 ","[context] [user1779]: @user @user ... @user this shit's not gonna be easy😂nothin major is supposed to happen in 2, 3 weeks. if sports comes back, nothing major WILL happen. they'll talk about the movement at the beginning of the season then it's all highlights and playoffs and nobody cares anymore. 
  [context] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
  ",2024-02-27T15:22:32.337050Z,0,0,0,1,0,0,0,
1,['False Dilemma'],5375,130.111,"[main_tweet] [user47446]: @user @user ... @user Why must we always be combative? If you know others think something is bad and you can work together why not do it? No one could have watched that George Floyd video and felt any difference. We need to band together not create division for views for your cause 
 ",165418," [context] [user1779]: @user @user ... @user this is america's cause and we definitely need the views over entertainment. it's called awareness. your priorities are wrong. reply to me when they're on track 
  [context] [user47446]: @user @user ... @user My priorities are Americans working together not fighting over petty shit like ""don't let black people play basketball because they will take away from our message about police brutality"" the shit doesn't correlate. It's just the cancel mentality of always wanting 2 combat others 
 ","[context] [user47446]: @user @user ... @user Plus how do you know they'll do this? Cuz the media just talks about whatever profits them huh exactly 
  [context] [user1779]: @user @user ... @user exactly. boycotting will stop a portion of the media from getting distracted and just going for views. all the headlines are gonna be about sports returning and blm will be nothing more than a hashtag again. if ppl with a platform sway from the matter, others will join 
  ",2024-04-05T09:59:49.420789Z,0,0,0,1,0,0,0,
