new_id,previous_context,main_tweet,posterior_context
51002,"[context] Top NYPD detective determines there was ""no criminality by Shake Shack's employees"" after three officers fall ill  "," @CBSNews But hey on the bright side, no corona virus after the bleach ",
235574,"[context] Rival Covid-19 vaccine makers including J&J, Pfizer, Moderna plan to pledge not to seek government approval until shots have proved safe and effective  "," I rightfully bag on Democrats a lot for ceding to Republicans the ""populist"" high ground, but how terrible do you have to be to let Big Pharma look responsible & civic-minded? ",
169576,, A spike in New Yorkers ingesting household cleaners following Trump's controversial coronavirus comments ," [context] @Alyssa_Milano But he didn't tell anyone to ingest it.  [context] Bullshit. Video of Trump saying inject bleach or it never happened. Pony up the proof, Tax Cheat.  [context] Dumb enough to believe trump....dumb enough to drink bleach. Unreal.  [context] @Alyssa_Milano ""During Thursday night's coronavirus briefing at the White House, Trump suggested doctors may be able to cure coronavirus by injecting disinfectants like bleach directly into the lungs of their patients."" No. He didn't. Next lie, please?  [context] Highly doubtful. But if ppl want to drink bleach that's their right and I dont really care either way.  [context] I'm really amazed you haven't drank a pint of bleach based on those comments. I know you just hang on every word he says. As an aside, have you said any thing regarding the new evidence of the victim's mother calling in Larry King on the SA allegation against Joe Bidden? No???? "
346165,, US Doctors led by @paulmarik Publish Ivermectin Paper on COVID-19 Protocol; Experts are Unconvinced via @JillianMock & @Medscape ," [context] Some people: ""EBM is not just about RCTs. It's also about clinical judgment and shared decision making!"" Same people: ""You don't have a 20,000-patient double-blind randomized trial. Your opinion is preposterous!"" "
137732,[context] @ifbacongrewont1 @gerdosi Dude now you are changing from that actually works as treatment to prophylaxis ... 🤣😂😅 this is not about losing or winning is that we have options that are safer than an experimental vaccine ... it has worked for me and my family and every person I know ...  , @kamanel_javier @gerdosi Go back to the very first comment i made here - i was and still always talking about PREVENTING COVID. But still you can't prove for either preventive or curative cause so many tens of thousands have been cured on their own without D or ivermectin - u failed again... , [context] @ifbacongrewont1 @gerdosi I have not failed bro because the evidence is there ... 🤣😂😅 
224914,," Here are just some of the millions of face masks being made in Victoria. We've placed an order for over two million reusable masks, and another three million single use masks too. These masks are helping create jobs, keep businesses running, and support local manufacturing. "," [context] But most importantly - every single one of them will be given out free to Victorians who need them, and frontline community workers too. "
167913,, A federal judge has ordered a self-described 'church' to stop selling a bleach-based product that it claims cures #coronavirus , [context] I'm surprised Mr T didn't patent it and cut a deal... slipped there  [context] Sounds like this guy needs to go into business with the pastor who was using Doom. 
141761,[context] President Trump's Operation Warp Speed working with the private sector produces another vaccine that's nearly 95% effective!  , @marklevinshow I have absolutely zero trust in the mRNA moderna vaccines funded by the Bill and Melinda Gates foundation which incidentally started this whole pandemic hysteria push after gaining a corona virus patent under the Pirbright Institute which they also are connected with. ,
94201,"[context] If ever there was an ""And.....Action"" here it is!  [context] ""Out of every 10 deaths, 8 were unnecessary."" Dr. Tess Lawrie, UK. The science couldn't be more clear: #Ivermectin works to safely prevent and treat COVID-19. Its efficacy is significant. It's globally available. Why is this so hard?  ", @PhilipWatson_ And relatives can't even get in. Fit them better doing some real investigation ,
82166,"[context] @LifeAndWealthBC @thelastpinkcar @beebopboop5 @debkenn123 @AnneGaviola Instead, Trump is blaming China, instead of taking measures to control the pandemic. Trump failed to take responsibility for misleading American Citizens ... he labeled COVID19 as just another flu strain. Countless RWNJs still think COVID19 is a hoax.  "," @LifeAndWealthBC @thelastpinkcar @beebopboop5 @debkenn123 @AnneGaviola Trump takes COVID19 personally, says it's destroying his reelection campaign. Well, if he took responsibility, instead of misleading stupid people into thinking that drinking bleach or popping hydroxychloroquine will prevent them from COVID19. ",
380229,"[context] A Brazilian volunteer in AstraZeneca's COVID-19 vaccine trial who died was part of the comparative control group, which is given a meningitis shot, a source suggested, saying that the trial would have been suspended if the volunteer was in the active arm  "," 👉It's not a ""control group"" if they get Meningitis shot just to ""prove"" that C19 trial group experienced comparatively milder side effects (than death). 👉This renders the C19 trial procedure Fraudulent. 👉Still think Pharma are altruists? Think again ➡ "," [context] @YonSolitary I still can't understand Pharma's method of placebo trials. And this is what RFK Jnr keeps banging on about. Shouldn't the ""placebo"" just be a saline solution. Why would it be a meningitis placebo?  [context] @RanaKumbha @Firezstarter1 @dlifein @ShaunakSA @RijoMJohn @MonkofMaude I know very well how researchers fudge data. I know how to give a positive twist to a negative outcome to push pre-determined outcome. I was a researcher, but the kind who loudly opposed it & got abused for it. Med research is no different Trial Placebo👇 "
329046,"[context] [Do not expect the French to understand what laicite means... it was a concept they dreamt up in one of their binges on single malt whisky, and means precisely whatever state they end up in]  "," There is a science and history [in the progress of algebra, stock markets, research and how traditional culture can live in cities that] proves how that wisdom has been implemented since Day 1. The authenticity of the Quran and the sayings of the Prophet... "," [context] have always been an article of faith. The reality is this: Macron is not worried about Islam. As religions go, Islam is as peaceful as any faith system. Macron's worries stem from the fact that he has turned himself into a bad copy of Marine Le Pen "
346052,," UPDATE: total number of UK covid deaths below age of 60 without pre-existing condition: 367 (1,911 overall) "," [context] @spencermorgan93 There are many many people below the age of 60 with pre-existing conditions of which they are sometimes unaware and who are potentially vulnerable, conditions such as high blood pressure, diabetes, chronic kidney disease, uncontrolled asthma etc etc "
