,precision,recall,f1-score,support
Ad Hominem,0.6666666666666666,0.4888888888888889,0.5641025641025641,45.0
Appeal to Fear,0.6666666666666666,0.3448275862068966,0.4545454545454545,29.0
Appeal to Ridicule,0.4358974358974359,0.3695652173913043,0.39999999999999997,46.0
False Dilemma,0.5263157894736842,0.35714285714285715,0.425531914893617,28.0
Hasty Generalization,0.4,0.07692307692307693,0.12903225806451613,26.0
Loaded Language,0.6710526315789473,0.5543478260869565,0.6071428571428571,92.0
None of the above,0.8601583113456465,0.8907103825136612,0.8751677852348994,366.0
micro avg,0.773851590106007,0.6930379746835443,0.7312186978297163,632.0
macro avg,0.603822500232721,0.4403436907362345,0.4936461191405583,632.0
weighted avg,0.745373799917165,0.6930379746835443,0.7095011363073548,632.0
samples avg,0.7522522522522522,0.7351351351351352,0.7358558558558558,632.0
